sim_type,base_learner,n,method,mean_mse,se_mse,n_iter
A,XGBoost,500,EP-Learner (ours),0.125173968530153,0.00746917147246316,102
A,XGBoost,500,DR-Learner,0.407521865807769,0.096889761170703,102
A,XGBoost,500,R-Learner,0.130332858175951,0.0076847903637042,102
A,XGBoost,500,T-Learner,0.171157988676077,0.00533266569598656,102
A,XGBoost,1000,EP-Learner (ours),0.0622530539566813,0.00402495836024789,98
A,XGBoost,1000,DR-Learner,0.193543101215023,0.0515405088798453,98
A,XGBoost,1000,R-Learner,0.0811771429507184,0.0040765487698732,98
A,XGBoost,1000,T-Learner,0.124095956740152,0.00613392083445552,98
A,XGBoost,2000,EP-Learner (ours),0.035435051836212,0.00180535128851125,99
A,XGBoost,2000,DR-Learner,0.0653046804078748,0.00290464601972772,99
A,XGBoost,2000,R-Learner,0.0441350596446665,0.0026695080337651,99
A,XGBoost,2000,T-Learner,0.100352938994673,0.00295408145989532,99
A,Random Forest,500,EP-Learner (ours),0.100288530162962,0.00623682707332951,100
A,Random Forest,500,DR-Learner,0.0807181004623037,0.00653331392595054,100
A,Random Forest,500,R-Learner,0.0827243536967088,0.00823264349798044,100
A,Random Forest,500,T-Learner,0.201767616643248,0.0064254366543955,100
A,Random Forest,500,Causal Forest,0.0525455999279253,0.00172394846816557,100
A,Random Forest,1000,EP-Learner (ours),0.0613059263229622,0.00326285272000609,99
A,Random Forest,1000,DR-Learner,0.0726120218056414,0.00924196283826333,99
A,Random Forest,1000,R-Learner,0.0704406952920086,0.00547467997848891,99
A,Random Forest,1000,T-Learner,0.141734282590111,0.00501826612167878,99
A,Random Forest,1000,Causal Forest,0.0455985366660164,0.00152644079575787,99
A,Random Forest,2000,EP-Learner (ours),0.0339313537821752,0.00159355692705793,99
A,Random Forest,2000,DR-Learner,0.145105251201906,0.00724420582715088,99
A,Random Forest,2000,R-Learner,0.0950509868873854,0.00309053011862707,99
A,Random Forest,2000,T-Learner,0.0959425402993738,0.00238725973518812,99
A,Random Forest,2000,Causal Forest,0.0369762294406127,0.00104531708343735,99
A,GAM,500,EP-Learner (ours),0.131567887155378,0.00864262027180405,99
A,GAM,500,DR-Learner,0.192192224731784,0.0248870427951503,99
A,GAM,500,R-Learner,0.12195485764059,0.00645890470292508,99
A,GAM,500,T-Learner,0.109273290039467,0.00510425700804399,99
