iter,sim_type,n,d,sigma,lrnr,ep_risk,dr_risk,r_risk,t_risk,causal_forest_risk
1,D,1000,5,1,gam,0.513616294483534,0.590103855762144,0.472924430291427,0.428306464791582,
2,D,1000,5,1,gam,0.415682140506466,0.375297538442625,0.428614660771728,0.508203516536363,
3,D,1000,5,1,gam,0.453020639165745,0.436518732912187,0.421837894040164,0.449785851957134,
4,D,1000,5,1,gam,0.366151336442337,0.351848664097426,0.376953927769373,0.419472803036083,
5,D,1000,5,1,gam,0.391734997150056,0.391183001023718,0.448148116621074,0.397074221404024,
6,D,1000,5,1,gam,0.528545892240588,0.531628650274088,0.519628099732929,0.550727087019646,
7,D,1000,5,1,gam,0.395399104278042,0.398671606166717,0.414848631022705,0.395376769381171,
8,D,1000,5,1,gam,0.697691845725923,0.632674274875828,0.433377181042355,0.378494410268417,
9,D,1000,5,1,gam,0.553019800239856,0.540727277451145,0.545832018202626,0.542169693316717,
10,D,1000,5,1,gam,0.440993577325842,0.402022046979644,0.363602692507146,0.458674224959063,
11,D,1000,5,1,gam,0.406721358853217,0.415502515121372,0.406044015987596,0.42226407759064,
12,D,1000,5,1,gam,0.443541186035136,0.451622698715867,0.471766122781995,0.490473003753931,
13,D,1000,5,1,gam,0.44555908617665,0.454052281747787,0.461130775926181,0.489092916171547,
14,D,1000,5,1,gam,0.355933336376452,0.370991209242448,0.409187502127458,0.526748951448588,
15,D,1000,5,1,gam,0.462608156407738,0.456360537671449,0.39041256387649,0.454152477199499,
16,D,1000,5,1,gam,0.432952772534523,0.469444063440632,0.478683819360333,0.582435502456598,
17,D,1000,5,1,gam,0.412690496934811,0.518333369375014,0.391689084086527,0.569565169068496,
18,D,1000,5,1,gam,0.438371327942756,0.395739497264972,0.357796399799785,0.380269081441021,
19,D,1000,5,1,gam,0.552701681847822,0.485377421748757,0.474154667613931,0.440222672264989,
20,D,1000,5,1,gam,0.433013531462658,0.434199780502315,0.390827079869909,0.474373675704933,
21,D,1000,5,1,gam,0.468182159824319,0.462728453912782,0.482292164345797,0.494208742608833,
22,D,1000,5,1,gam,0.494392187005149,0.480260928935524,0.538607792975904,0.418439328644042,
23,D,1000,5,1,gam,0.375866526860456,0.331414004680457,0.4529049724881,0.517739149260799,
24,D,1000,5,1,gam,0.423369934281321,0.405510996417548,0.371112796438714,0.410482620372554,
25,D,1000,5,1,gam,0.515238033080174,0.484932210705537,0.472557709674633,0.437220692260319,
26,D,1000,5,1,gam,0.448856144026861,0.435148842886871,0.411259600647761,0.47865324139049,
