iter,sim_type,n,d,sigma,lrnr,ep_risk,dr_risk,r_risk,t_risk,causal_forest_risk
1,C,2000,5,1,rf,0.000413750036947109,0.00055608363728623,0.000984958986776214,0.444401531755943,0.00212036057697488
2,C,2000,5,1,rf,4.23435526409812e-05,2.85223067916221e-05,0.000164263669607596,0.463478699805323,1.24947519329249e-05
3,C,2000,5,1,rf,0.00242493316066418,0.000563300185781601,0.00196459747268737,0.436255690480766,0.00209859027305311
4,C,2000,5,1,rf,0.00426271544738834,0.00198133730302944,3.11852884561069e-05,0.475557417472768,0.000442992377883749
5,C,2000,5,1,rf,9.92219394444203e-05,2.37171355649001e-05,0.00137844940599564,0.383207433400431,0.00160755274996758
6,C,2000,5,1,rf,0.0664340770080962,0.000156586533522558,0.000955528069534289,0.357453811232022,0.00112108122593239
7,C,2000,5,1,rf,0.00268607831478975,8.3565173775773e-05,0.00438806386851408,0.395295443495212,0.0177696168659319
8,C,2000,5,1,rf,0.0224872572691899,0.00209302619221221,0.000455450019655668,0.485163254097225,0.0013485769654471
9,C,2000,5,1,rf,0.00112617932326925,8.72543699316522e-05,0.00404191734278139,0.31421707993129,0.00542759722329684
10,C,2000,5,1,rf,0.0132204000976748,0.0107261818736898,0.00547043556160849,0.366837960169004,0.0128438507218647
11,C,2000,5,1,rf,0.0781378422519185,0.00426611002322769,0.118071589227293,0.500817364486887,0.0269581889579681
12,C,2000,5,1,rf,0.0166593270416827,0.0149451679840319,0.126341647737398,0.425351851764612,0.0172321469599727
13,C,2000,5,1,rf,0.0245235116596055,0.000210225424072485,0.00166978575432187,0.336115598282264,0.00146400422416584
14,C,2000,5,1,rf,0.00284056057694552,0.000351869779540206,0.000225939997893434,0.362180596304654,0.000575510719375433
15,C,2000,5,1,rf,0.00347501145254864,0.00344590438630353,0.00346295009089064,0.518983790598387,0.00355985327344516
16,C,2000,5,1,rf,0.0092004971530984,0.00772074150047057,0.00225289817960207,0.365598223568014,0.00189402536526655
17,C,2000,5,1,rf,0.00129093534976143,0.000963022691221372,0.000142307949630754,0.316785094590314,8.06036128891818e-05
18,C,2000,5,1,rf,0.00470309701736159,0.00303463318679103,0.00401908813402701,0.389369321319762,0.00424604324652943
19,C,2000,5,1,rf,0.0267004826715616,0.0126468772519821,0.00499139227050379,0.578621076925452,0.00674279557223983
20,C,2000,5,1,rf,0.00637452135295423,0.00482539904884333,0.00482001393214883,0.456305890081735,0.00426521131185456
21,C,2000,5,1,rf,0.00107402754182584,0.00133763636358553,0.00170534427405157,0.37014245314595,0.00192511977159183
22,C,2000,5,1,rf,0.00079853333692668,0.000733732769521219,2.79428684223438e-05,0.422875278396732,2.81638877109221e-06
23,C,2000,5,1,rf,9.79612397562687e-06,1.9071349486903e-07,0.00135694537506239,0.402147932724308,0.00175927386240796
24,C,2000,5,1,rf,0.00250050242672765,0.000151618143938696,0.000112017401664001,0.370232542455872,8.09498098630617e-06
25,C,2000,5,1,rf,0.0124220226422954,0.000892660799947645,0.0122167974148363,0.372442634512991,0.011916122954362
26,C,2000,5,1,rf,9.88989436768016e-05,0.000215825581616688,0.000727261617241366,0.465840430195628,0.00097010761001704
27,C,2000,5,1,rf,0.0041623183023448,0.00108121268369126,0.00200469764401175,0.455769938269698,0.0028543962588523
28,C,2000,5,1,rf,0.00507943351416436,0.00182118717486553,0.00210221123602794,0.397641804557889,0.00158716238377422
29,C,2000,5,1,rf,0.0217697983542612,0.0189343714174343,0.00546609328877916,0.505495908827952,0.00608767968230923
30,C,2000,5,1,rf,0.0709439465502585,0.00677765037011697,0.00680186742770973,0.391856616649112,0.017945466535376
31,C,2000,5,1,rf,0.00185301838285605,0.000219819553661823,0.000160476921670783,0.429864351530705,0.000107896160897763
32,C,2000,5,1,rf,0.0465642502815562,0.00239090844485525,0.002505425516709,0.32100471261977,0.00675022201151665
33,C,2000,5,1,rf,5.68884510824902e-05,0.000122763470875265,5.50145541955908e-05,0.440084746697247,0.000239454117534068
34,C,2000,5,1,rf,0.0397648329173079,0.00376514392777365,0.00830719355599429,0.318471419170005,0.00864100322582321
35,C,2000,5,1,rf,0.00169444680840263,0.00212233826708267,0.0102460080694157,0.408960983301928,0.0100981558493354
36,C,2000,5,1,rf,0.0499920611211396,0.140668819621274,0.0015386308448729,0.505407182620455,0.00194679696874844
37,C,2000,5,1,rf,0.002624187999621,3.63597487516512e-05,0.000201023875524137,0.407531105956089,0.000310665754532109
38,C,2000,5,1,rf,0.00150176712642665,0.00145858823434621,0.000544980743815286,2.21967158693044,0.000453321267952781
39,C,2000,5,1,rf,0.0225495276163252,0.00628784743750502,0.0030510588511108,0.530451331877039,0.00351990579636222
40,C,2000,5,1,rf,6.38495353125215e-05,4.48065779395002e-05,6.85833283273781e-06,0.385113830564166,5.63210471276605e-07
41,C,2000,5,1,rf,0.0192951699669296,0.0176684877886435,0.0103576055460972,0.323169119702336,0.0101976353156535
42,C,2000,5,1,rf,0.00764492880254602,0.00674511826865948,0.00105191208456491,0.610165225843349,0.00110695335596684
43,C,2000,5,1,rf,0.0390897425306931,8.33408513328703e-05,0.000305837819616171,0.443618734845351,0.00750210065366501
44,C,2000,5,1,rf,0.0042021554448479,0.00364488849049955,0.0058661747705503,2.13953253651183,0.00494561263450546
45,C,2000,5,1,rf,0.000795682517372533,0.000780053635395598,0.000188740640863789,0.497856525910753,0.000212826172469454
46,C,2000,5,1,rf,0.0298542775503829,0.000658672644310992,0.00203702295762607,0.382418892100827,0.00230713408127223
47,C,2000,5,1,rf,0.000209017792389134,1.10859578169086e-05,0.00126123267563393,0.454341658558311,0.00156360593455365
48,C,2000,5,1,rf,0.0103276305460123,0.0185826975338411,0.00487435487188024,0.441946066674722,0.004764129916826
49,C,2000,5,1,rf,0.000139491530874291,2.41534670808977e-05,4.12631402199312e-05,0.409919649620417,1.99351275092904e-05
50,C,2000,5,1,rf,0.00679804684818733,0.00604425920138721,0.00438323453731512,0.434978687663908,0.00652596817236837
51,C,2000,5,1,rf,0.00174912008001232,0.000195894853584019,0.00170389784584975,0.440185370998086,0.00167666798635633
52,C,2000,5,1,rf,0.0521626484929828,0.00380806893159703,0.00858279775521563,0.47935856923764,0.00933131815737807
53,C,2000,5,1,rf,0.00110691983384113,3.60151802182173e-05,0.000576121694700872,0.358858733423508,0.000953572720579411
54,C,2000,5,1,rf,0.00675926462655863,0.000947753879309831,0.000353496733583218,0.553166883590639,0.00331415716064059
55,C,2000,5,1,rf,5.10715198306546e-05,2.82815666038956e-05,0.000141719969425311,0.474341110789039,0.000137402469898251
56,C,2000,5,1,rf,0.00997139698679416,0.000122009777018097,0.00133956092254505,0.433161555320021,0.00522887486779411
57,C,2000,5,1,rf,0.0718882454043559,9.9171062497367e-06,0.116011996017643,0.425737867752751,0.0119354557811567
58,C,2000,5,1,rf,0.00102440213418579,0.000179084721522407,0.00130453535795721,0.329173338265089,0.00121140117080366
