iter,sim_type,n,d,sigma,lrnr,ep_risk,dr_risk,r_risk,t_risk,causal_forest_risk
1,C,2000,5,1,xg,0.0235051134109711,0.0583806345325639,0.0396690331008735,0.531440056064353,
2,C,2000,5,1,xg,0.0166183433720825,0.0314209766536931,0.0312483151756508,0.485261126497843,
3,C,2000,5,1,xg,0.0224907717043976,0.0315621334121463,0.0337307402768494,0.434449328615656,
4,C,2000,5,1,xg,0.0179430011697046,0.0482756990621039,0.0320097115152706,0.572446547990962,
5,C,2000,5,1,xg,0.013955770649279,0.026463656681077,0.0314473347540929,0.397344595667754,
6,C,2000,5,1,xg,0.110704666929392,0.044240686215858,0.0409586779898009,0.453943753177442,
7,C,2000,5,1,xg,0.0220763470225036,0.0462247174485411,0.0510906630006395,0.390883042373268,
8,C,2000,5,1,xg,0.0202340965711385,0.0472205988705648,0.0198213890144034,0.515326573658555,
9,C,2000,5,1,xg,0.0013447484334769,0.0250105152620466,0.0258633381394857,0.314606132270028,
10,C,2000,5,1,xg,0.0258225175043105,1.19072253108904,0.187062628901016,0.42405084580403,
11,C,2000,5,1,xg,0.102758479427279,0.162102455629391,0.0435364859607198,0.597997065292716,
12,C,2000,5,1,xg,0.0373617334271069,0.0780750333651758,0.0582908540771626,0.499406828778789,
13,C,2000,5,1,xg,0.0284106456567049,0.0215314252365438,0.0204838529909325,0.380604128396496,
14,C,2000,5,1,xg,0.0227521004563974,0.0345002521888756,0.0307851252229459,0.407997173132491,
15,C,2000,5,1,xg,0.0159028967881168,0.0488113740775478,0.0439248753239309,0.561677185364124,
16,C,2000,5,1,xg,0.00964502190443386,0.0437933824310912,0.0206030183998138,0.420653260541422,
17,C,2000,5,1,xg,0.0120490689017991,0.0198158279381717,0.0323945699700167,0.439382863793183,
18,C,2000,5,1,xg,0.0136753525479775,0.0287192495310377,0.0194868198727957,0.525947108033038,
19,C,2000,5,1,xg,0.0244989404767049,0.0514596239626974,0.0351821272273054,0.577190144985514,
20,C,2000,5,1,xg,0.0147927964805867,0.0420682485290251,0.0316252897625154,0.560484384235992,
