iter,sim_type,n,d,sigma,lrnr,ep_risk,dr_risk,r_risk,t_risk,causal_forest_risk
1,D,2000,5,1,xg,0.362347116661078,0.396987368328287,0.515498381757508,0.234484476461749,
2,D,2000,5,1,xg,0.351935173114149,0.530375897953466,0.44307616074329,0.22134247957887,
3,D,2000,5,1,xg,0.309650413488577,0.406926294468673,0.362806458537702,0.262578584648687,
4,D,2000,5,1,xg,0.326242647815655,0.399972426782193,0.292843342716876,0.25704392098512,
5,D,2000,5,1,xg,0.329464062792072,0.35474740888223,0.379721701856542,0.225662462034671,
6,D,2000,5,1,xg,0.473579417545311,0.60924763880847,0.604938600904513,0.244284618922704,
7,D,2000,5,1,xg,0.354013800584729,0.425493847760612,0.405683512720985,0.242676503430477,
8,D,2000,5,1,xg,0.292217993177425,0.433472949632288,0.419024114666953,0.21986093460658,
9,D,2000,5,1,xg,0.287135687782199,0.331852209484098,0.322865741824703,0.279324942747023,
10,D,2000,5,1,xg,0.300719915554444,0.710675403121017,0.38080151748731,0.217445499492532,
11,D,2000,5,1,xg,0.301558397566035,0.367160873585703,0.359591912311545,0.219662591739333,
12,D,2000,5,1,xg,0.323750204118034,0.628468630548466,0.32180782765135,0.234225665858356,
13,D,2000,5,1,xg,0.315089824835571,0.425992885964015,0.399513203978649,0.251749636948821,
14,D,2000,5,1,xg,0.355469234658331,0.487096645944532,0.528356429160393,0.433746733796957,
15,D,2000,5,1,xg,0.296150015997547,0.748425661022479,0.367489588416713,0.242937103103148,
16,D,2000,5,1,xg,0.261047062708618,0.422366404868055,0.332071531956614,0.231768745411325,
17,D,2000,5,1,xg,0.293944055908683,0.391943016904677,0.423824123734435,0.226265362034488,
18,D,2000,5,1,xg,0.45989426380459,0.553081681123758,0.516896671779267,0.229688884590782,
19,D,2000,5,1,xg,0.294816702481655,0.421458008778013,0.416658437211681,0.235118504029134,
20,D,2000,5,1,xg,0.367059541451269,0.476567651683935,0.417995152050713,0.227625040437487,
21,D,2000,5,1,xg,0.334463436718511,0.443908684035761,0.465677611894254,0.258141595607756,
22,D,2000,5,1,xg,0.307128947471687,0.500599395427279,0.394670641456231,0.216293014060456,
23,D,2000,5,1,xg,0.331888189940089,0.399649427979639,0.445202473888112,0.243588640888387,
24,D,2000,5,1,xg,0.314510930888025,0.394993345989525,0.396630335477802,0.227038250587442,
25,D,2000,5,1,xg,0.409587794941655,0.555469463709705,0.526385016050801,0.256503261404433,
26,D,2000,5,1,xg,0.317070474327868,0.462475401599655,0.465996777087917,0.241529936941181,
27,D,2000,5,1,xg,0.354249141227306,0.439308064767193,0.436494053678192,0.26236580301902,
28,D,2000,5,1,xg,0.406239882100943,2.94304824073419,0.464879467232418,0.226250763153566,
29,D,2000,5,1,xg,0.268826415048443,0.385394133279676,0.280005877038281,0.229598872002797,
30,D,2000,5,1,xg,0.361523680479375,0.722239131292132,0.457734654926694,0.2192878673615,
31,D,2000,5,1,xg,0.322619493384708,0.398125290322749,0.427342954150206,0.253303634363569,
