sim_type,lrnr,n,iter,dr_risk
A,gam,500,17,17519.3179577364
A,gam,1000,94,625.470899094567
A,gam,2000,17,53.9955605412343
A,rf,500,17,1819.5442563143
A,rf,1000,94,48.7879090516178
A,rf,2000,17,1772.67953580322
A,xg,500,17,157208.667339696
A,xg,1000,50,6.34397262513162
A,xg,1000,94,827.474092077987
A,xg,2000,17,3968.41187840772
B,gam,1000,31,66.1351369994311
B,gam,2000,4,7.4325595647578
B,rf,1000,31,307.414455683908
B,rf,2000,4,32.8819903318311
B,xg,1000,31,270.876988664123
B,xg,2000,4,161.02639936003
C,gam,500,27,2426337516608.58
C,gam,1000,29,1137180371.70739
C,gam,1000,63,3.20027857712922
C,gam,1000,67,2340.52332257239
C,mean,500,27,55364043052.1133
C,mean,500,204,4.632223197633
C,mean,1000,29,81990705.5308905
C,mean,1000,67,127.786845069273
C,mean,1000,211,2.28949923203218
C,mean,1000,225,1.04293628281794
C,mean,1000,243,433503626.663279
C,mean,2000,136,5492682497.11785
C,mean,2000,240,0.948092363184956
C,rf,500,27,55364043052.1133
C,rf,500,48,4376.41763660352
C,rf,500,69,7.80460875985197
C,rf,500,74,1.63984108831248
C,rf,500,146,100603944762.675
C,rf,1000,29,5083780924.52869
C,rf,1000,67,127.786845069273
C,rf,1000,40,3.17968941944116
C,rf,1000,90,9.24864297022492
C,rf,1000,134,208.449407790904
C,rf,1000,185,17.6590307822625
C,rf,1000,206,28356.5154182079
C,rf,1000,247,17985784.5522438
C,rf,2000,28,3269227.45330778
C,rf,2000,87,111.393924631044
C,rf,2000,121,2.54680400615582
C,rf,2000,155,11.2235852498072
C,rf,2000,214,19.655838881568
C,rf,2000,222,84.3105623583386
C,xg,500,27,3150980717894.53
C,xg,1000,29,1880914625.95643
C,xg,1000,63,11.988024478058
C,xg,1000,67,5667.50894395713
D,gam,1000,61,6075.57625321502
D,gam,2000,95,18223143492.1775
D,rf,1000,61,8166.32662181873
D,rf,2000,95,174504221423.552
D,xg,1000,61,7236.60577908097
D,xg,2000,95,358241582987.853
