iter,sim_type,n,d,sigma,lrnr,ep_risk,dr_risk,r_risk,t_risk,causal_forest_risk
1,C,1000,5,1,gam,0.0551393141010854,0.0981235581813874,0.062450734731266,0.607039841046351,
2,C,1000,5,1,gam,0.0318567283895953,0.0305829107261342,0.0302764727531847,0.42905814389201,
3,C,1000,5,1,gam,0.11560126439787,0.0717380824376933,0.036586197038746,0.397157405133611,
4,C,1000,5,1,gam,0.0482736869086717,0.0419422615769663,0.0537896674184236,0.398344031931271,
5,C,1000,5,1,gam,0.0365694310365288,0.0472385391892238,0.0421175189752118,0.526272948391668,
6,C,1000,5,1,gam,0.122623848768821,0.136609763716693,0.0633478107573018,0.919524140387815,
7,C,1000,5,1,gam,0.015472889539407,0.0210087972450829,0.0262744611506029,0.422404615639283,
8,C,1000,5,1,gam,0.0326403772052851,0.0284305110337796,0.0434388727994239,0.343396959614126,
9,C,1000,5,1,gam,0.145283415623817,0.0840918306171054,0.0500310680109392,0.746067436516617,
10,C,1000,5,1,gam,0.0198154347066567,0.0414470541269438,0.035391728129371,0.541110650195104,
11,C,1000,5,1,gam,0.0686014823706638,0.0856672696719302,0.0628257596133302,0.854040392292478,
12,C,1000,5,1,gam,0.0824690405207596,0.0993579287837446,0.0872520313581083,0.904795912881779,
13,C,1000,5,1,gam,0.0543978335104399,0.0515742623279261,0.0590158179014556,0.628678752848027,
14,C,1000,5,1,gam,0.108239854984182,0.1309528656342,0.0699460331817275,0.559825112128692,
15,C,1000,5,1,gam,0.0581521757179899,0.0801373216452154,0.0921737968693532,0.912747530795863,
16,C,1000,5,1,gam,0.054912556551204,0.0463051985462982,0.0567384166657737,0.387020247996774,
17,C,1000,5,1,gam,0.120182941937617,0.146403804472225,0.11646797014758,0.878354190212172,
18,C,1000,5,1,gam,0.0331742808739053,0.02766504729795,0.0283605463700025,0.703607175115179,
19,C,1000,5,1,gam,0.0316714418572743,0.037215468403392,0.035128316007747,0.450113440487179,
20,C,1000,5,1,gam,0.0585499496656383,0.056534596234789,0.0738607896488411,0.516011821093568,
21,C,1000,5,1,gam,0.027411495855125,0.0540149871346034,0.0687798330221077,0.679056479530343,
22,C,1000,5,1,gam,0.111930100297206,0.134625681865753,0.14239924398997,0.638936224119397,
23,C,1000,5,1,gam,0.127287660636193,0.137664265565118,0.068677701179375,0.739349225180563,
24,C,1000,5,1,gam,0.00880223586996385,0.015848585852079,0.0179267369062423,0.418094886457767,
25,C,1000,5,1,gam,0.215166334464148,0.457193949003863,0.0842265220784632,0.353785554546588,
26,C,1000,5,1,gam,0.0787071888491903,0.0849074148023746,0.0894011521570174,0.514999477716379,
27,C,1000,5,1,gam,0.0388915476946438,0.0373965472008221,0.0466581298495092,0.616180204860471,
28,C,1000,5,1,gam,0.0180005351685546,0.104065411066577,0.0270586650064262,0.606841322822553,
29,C,1000,5,1,gam,4.62440716563777,1137180371.70739,0.0829847188006676,0.570015458884529,
30,C,1000,5,1,gam,0.0230541250239267,0.0283051675151514,0.0324188987405976,0.467564404422018,
31,C,1000,5,1,gam,0.051951271711814,0.105768494238068,0.038972245735747,0.521324674259561,
32,C,1000,5,1,gam,0.054027972652644,0.049864564144547,0.0505600331109281,0.487357371857338,
33,C,1000,5,1,gam,0.119517167352052,0.0950795366407095,0.146831256029557,0.766918233365593,
34,C,1000,5,1,gam,0.0546617577779721,0.180956844600911,0.118430959101515,0.946826193553682,
35,C,1000,5,1,gam,0.0259279283179197,0.0240171813058409,0.0478018924462564,0.511617563223219,
36,C,1000,5,1,gam,0.0199795281893908,0.0110233604420753,0.0209948101764981,0.628365903713623,
37,C,1000,5,1,gam,0.0962604590166565,0.10995982302052,0.107757225125701,0.748770056511937,
38,C,1000,5,1,gam,0.0480891089648192,0.052750576215534,0.0990466694085498,0.458989905014423,
39,C,1000,5,1,gam,0.0537719066734387,0.0566701696946397,0.0519396827170863,0.528332763289768,
40,C,1000,5,1,gam,0.0177830896339299,0.0259656908890312,0.0298389074307388,0.679710015999756,
