iter,sim_type,n,d,sigma,lrnr,ep_risk,dr_risk,r_risk,t_risk,causal_forest_risk
1,A,1000,5,1,xg,0.128770170571125,0.385139008318497,0.11997362820954,0.121901025162638,
2,A,1000,5,1,xg,0.124351225963025,0.155204033180135,0.118428847921059,0.342260300271709,
3,A,1000,5,1,xg,0.0186380287241153,0.0483995127273806,0.0570270979902504,0.0872031305913996,
4,A,1000,5,1,xg,0.0508786792734728,0.0758713492533379,0.0699314955956884,0.10323955769133,
5,A,1000,5,1,xg,0.0319399445420238,0.060891338431868,0.0414133255551258,0.135210983015194,
6,A,1000,5,1,xg,0.0777940000671915,0.0670545879384267,0.0859216671771591,0.117596581337352,
7,A,1000,5,1,xg,0.0425713203928012,0.0763903277811548,0.042733765078808,0.118545063585548,
8,A,1000,5,1,xg,0.0268573543279632,0.104067610583956,0.0505232228856803,0.0939993251429283,
9,A,1000,5,1,xg,0.0311087880473902,0.0398214552928744,0.0713067736060896,0.0564857865794606,
10,A,1000,5,1,xg,0.0730095058961854,0.0925326841507475,0.135279517072952,0.128596669067036,
11,A,1000,5,1,xg,0.0146573808673922,0.116193081994078,0.0779804403643322,0.117206391155074,
12,A,1000,5,1,xg,0.0518296313447352,0.180016087491284,0.0504453234902579,0.127314822348471,
13,A,1000,5,1,xg,0.0329411298063254,0.077008786652473,0.0754723717262874,0.182527046934941,
14,A,1000,5,1,xg,0.0693468232812668,0.0928815582686411,0.101901906799219,0.086098729234049,
15,A,1000,5,1,xg,0.102279861239872,0.678476206198637,0.0533295517825966,0.0745914097068181,
16,A,1000,5,1,xg,0.0805915040074642,0.242630475853407,0.0915437966840275,0.138181130980395,
17,A,1000,5,1,xg,0.0763131028722362,0.0892108866346109,0.12877174265556,0.110018749758795,
18,A,1000,5,1,xg,0.0114230127767914,0.0721146540303028,0.0542694817975231,0.0748100642749002,
19,A,1000,5,1,xg,0.0335704073570133,0.0889620611395063,0.0794264880977093,0.111194877363111,
20,A,1000,5,1,xg,0.01949981421142,0.0802320249031956,0.0826650391001969,0.108755951006941,
21,A,1000,5,1,xg,0.0570954302655001,0.0767457210895137,0.0962569003401869,0.174945404192838,
22,A,1000,5,1,xg,0.0531763577113055,0.0973530917179711,0.0398375240810149,0.0843816400290711,
23,A,1000,5,1,xg,0.0269486288872874,0.0508643405730282,0.0606151740977053,0.0686010416413655,
24,A,1000,5,1,xg,0.038022388006093,0.0829777438893358,0.0498905683631143,0.166251837737345,
25,A,1000,5,1,xg,0.0666443599850032,0.0986071824500221,0.0706741049895576,0.141142272211134,
26,A,1000,5,1,xg,0.0779783285031595,0.093035422634149,0.0785799129873085,0.119671247012974,
27,A,1000,5,1,xg,0.0336037507169213,0.180083467951784,0.0703639722489452,0.108941780182531,
28,A,1000,5,1,xg,0.0267711269731018,0.0553238330251228,0.0340744119292971,0.0961728221672235,
29,A,1000,5,1,xg,0.0734778701758548,0.111950583238227,0.13384373111948,0.154160518250464,
30,A,1000,5,1,xg,0.0711516661112657,0.0870994589647316,0.08888499867512,0.123925844770807,
31,A,1000,5,1,xg,0.0627939837162493,0.0992128474261011,0.0698916886435767,0.101152361044055,
32,A,1000,5,1,xg,0.0603367471287581,0.0941008248217578,0.0454354065661788,0.141780112132305,
33,A,1000,5,1,xg,0.0306638368638486,0.476400832375565,0.0583761481776214,0.100759823350314,
34,A,1000,5,1,xg,0.0541551582291168,0.0511709961924501,0.0390488044797095,0.0990631868017466,
35,A,1000,5,1,xg,0.117092662065412,0.0540875299409543,0.0913484832090463,0.178405992030196,
36,A,1000,5,1,xg,0.0370552475661543,0.0959574334868561,0.0934024599057883,0.118222059216822,
37,A,1000,5,1,xg,0.082022732600291,0.135598886617513,0.105503556035641,0.125433209634999,
38,A,1000,5,1,xg,0.0500969393973809,0.100576160573044,0.0631098238445237,0.123050455066863,
39,A,1000,5,1,xg,0.0273484668008878,0.135906320499387,0.0602161110975552,0.0722602765424373,
40,A,1000,5,1,xg,0.087307366884587,0.104458434233429,0.118654652464253,0.116765630022036,
41,A,1000,5,1,xg,0.0413363601206718,0.122237499361567,0.0763379329183552,0.142963536783643,
42,A,1000,5,1,xg,0.0385045313776016,0.0770124890270769,0.0630284847319484,0.184991845585029,
43,A,1000,5,1,xg,0.069178699804297,0.168696485051602,0.0983351434344798,0.0972797243535194,
44,A,1000,5,1,xg,0.0352935845783743,0.109150387951255,0.108768461122428,0.18400303147019,
45,A,1000,5,1,xg,0.247145781062427,0.0844248783160456,0.0648035753733155,0.168296052832741,
46,A,1000,5,1,xg,0.0833010542752819,0.149066513503535,0.127817081713822,0.0913237030498054,
47,A,1000,5,1,xg,0.0469456911274355,0.0721143157039819,0.0598496332784122,0.109763838689803,
48,A,1000,5,1,xg,0.0178645726404624,0.43342031135822,0.0519368913163954,0.307017520048141,
49,A,1000,5,1,xg,0.0177813728369745,0.100152501326854,0.0415629320503704,0.0991906507870867,
50,A,1000,5,1,xg,0.0379522212567181,6.34397262513162,0.20246563335956,0.205568849105024,
51,A,1000,5,1,xg,0.0387172521294956,0.0533073155454072,0.0545781777733627,0.0808041663678397,
52,A,1000,5,1,xg,0.0793499957377038,0.400217771073574,0.0724036070466318,0.194260647008412,
53,A,1000,5,1,xg,0.0738233198882439,0.131802234562106,0.0940074310841132,0.0894460154794772,
54,A,1000,5,1,xg,0.111192949403547,0.0942419007323564,0.0731743848786003,0.102843251519419,
55,A,1000,5,1,xg,0.0589361958992733,0.119078427757115,0.0659595449326823,0.182318707064796,
56,A,1000,5,1,xg,0.0615358706621647,0.0269614158922757,0.0464402522681092,0.0899147199173157,
57,A,1000,5,1,xg,0.0400682894677742,0.105087201580319,0.22980710543372,0.129458216313499,
58,A,1000,5,1,xg,0.0180049247060483,0.0812527853783031,0.0524397145644933,0.104312665902348,
59,A,1000,5,1,xg,0.182069497556664,0.258776464869545,0.109278405740226,0.0550634032042001,
60,A,1000,5,1,xg,0.143784635029643,0.11656409045219,0.0904788629764761,0.0951538749272086,
61,A,1000,5,1,xg,0.0722838757824617,0.144807216346096,0.0734482471338654,0.0989917986823455,
62,A,1000,5,1,xg,0.048119343820414,0.0555126041427227,0.0598217070767274,0.124739005596772,
63,A,1000,5,1,xg,0.0398293179644625,0.0881362733439455,0.0722175780815671,0.176586665127765,
64,A,1000,5,1,xg,0.23124639991414,2.89398228255031,0.0565311796986374,0.0796874357214565,
65,A,1000,5,1,xg,0.0329511009823032,0.0509042042895399,0.0469290137336423,0.105381755978966,
66,A,1000,5,1,xg,0.0538332862550514,0.139228380841097,0.0455747105153523,0.510402832744257,
67,A,1000,5,1,xg,0.0293594632813132,0.0824795023481668,0.0499179259022985,0.123736402723639,
68,A,1000,5,1,xg,0.0727104058887446,0.118317866286425,0.0888113567150964,0.10547426410297,
69,A,1000,5,1,xg,0.103443903533448,0.124121714858978,0.1236001424776,0.0911996621813537,
70,A,1000,5,1,xg,0.0682476949390173,0.114759071931135,0.317805651206831,0.169912539494603,
71,A,1000,5,1,xg,0.0400992836695876,0.073213452224264,0.053357436514612,0.0705716147342789,
72,A,1000,5,1,xg,0.0750884311160495,0.0890827040769827,0.0755002004440057,0.0864279805130171,
73,A,1000,5,1,xg,0.115832678629603,0.206750640522414,0.142108356783224,0.109727087034584,
74,A,1000,5,1,xg,0.0375142027501994,0.062123464007652,0.10656045996379,0.062714281915552,
75,A,1000,5,1,xg,0.0385252505615617,0.0708024799226667,0.057517796587195,0.0702637289489693,
76,A,1000,5,1,xg,0.0709171793958979,0.0924114887860756,0.102719188785027,0.116825274942467,
77,A,1000,5,1,xg,0.0148032688555829,0.0536538850114229,0.0780072249361792,0.0583201434364293,
78,A,1000,5,1,xg,0.1159628106559,0.386371799915752,0.1051000369516,0.192435851838179,
79,A,1000,5,1,xg,0.0737178881360442,0.120586872066187,0.0449082458875246,0.081108649175921,
80,A,1000,5,1,xg,0.082823579444613,0.126661998236473,0.0860188583501201,0.156216540024075,
81,A,1000,5,1,xg,0.0684265675416968,0.0614629065241331,0.0939892821345869,0.103040575131862,
82,A,1000,5,1,xg,0.0522312921896918,0.0970175481912023,0.0878511998703969,0.118085635846269,
83,A,1000,5,1,xg,0.0851458814591593,0.159468089513272,0.112873761218513,0.133275444336321,
84,A,1000,5,1,xg,0.0283747334992007,0.0751562202054194,0.0424375267240226,0.10214474575164,
85,A,1000,5,1,xg,0.0513988762727506,0.0720811038755902,0.0806685710120272,0.084810347983342,
86,A,1000,5,1,xg,0.055602111920341,0.182471655988056,0.151554789212219,0.12817962806096,
87,A,1000,5,1,xg,0.0449106431617099,0.0612362484773337,0.0723956625632878,0.152495503462983,
88,A,1000,5,1,xg,0.0425747392794784,0.0734887431271372,0.0507760590122066,0.174383419802412,
89,A,1000,5,1,xg,0.0265247672926898,0.0902484322633025,0.0529502710814202,0.0688258568335604,
90,A,1000,5,1,xg,0.06395199803437,0.102983177216967,0.055163211598561,0.12550440079623,
91,A,1000,5,1,xg,0.0607378608406289,0.0888739744306789,0.0907297674859783,0.0693480869095662,
92,A,1000,5,1,xg,0.037044796132935,0.0445165972630202,0.0423490227767947,0.133075915553766,
93,A,1000,5,1,xg,0.0913783127661688,4.25431814098606,0.0882960062372891,0.160584243026029,
94,A,1000,5,1,xg,0.103614759710103,827.474092077987,0.0577229511124329,0.165892175573462,
95,A,1000,5,1,xg,0.0377843696935763,0.0301738457784203,0.0513645018853591,0.0760305331802168,
96,A,1000,5,1,xg,0.0578971957860887,0.0521782824801611,0.0539369817041171,0.110763797629386,
97,A,1000,5,1,xg,0.0480898407467191,0.104490047771857,0.0637665177545726,0.123734636482034,
98,A,1000,5,1,xg,0.0741158154107905,0.308742409095502,0.106001123304559,0.0867543355011346,
99,A,1000,5,1,xg,0.0548962513916641,0.131829433375904,0.172881820457236,0.0617890719932609,
100,A,1000,5,1,xg,0.0654545562966424,0.074405328831145,0.0615570759087302,0.198623386786195,
